"Dam_Founder","Sire_Founder","PupGeno","WeanDate","YearMonth","litterorder","litternum","First_Litter","Males","Females","Weaned","Male_Prop"
"PWK","PWK","PWKxPWK","3/10/08","YearMonth_2008-03","order01",0,1,4,2,6,0.666666667
"PWK","PWK","PWKxPWK","3/11/08","YearMonth_2008-03","order01",0,1,0,3,3,0
"PWK","PWK","PWKxPWK","4/18/08","YearMonth_2008-04","order02",1,0,3,3,6,0.5
"PWK","PWK","PWKxPWK","5/30/08","YearMonth_2008-05","order03",2,0,2,6,8,0.25
"PWK","PWK","PWKxPWK","7/14/08","YearMonth_2008-07","order04",3,0,2,3,5,0.4
"PWK","PWK","PWKxPWK","9/6/08","YearMonth_2008-09","order05",4,0,2,1,3,0.666666667
"PWK","PWK","PWKxPWK","10/20/08","YearMonth_2008-10","order06",5,0,4,2,6,0.666666667
"PWK","PWK","PWKxPWK","12/1/08","YearMonth_2008-12","order07",6,0,0,3,3,0
"PWK","PWK","PWKxPWK","3/11/08","YearMonth_2008-03","order01",0,1,8,0,8,1
"PWK","PWK","PWKxPWK","4/22/08","YearMonth_2008-04","order02",1,0,5,2,7,0.714285714
"PWK","PWK","PWKxPWK","6/9/08","YearMonth_2008-06","order03",2,0,5,3,8,0.625
"PWK","PWK","PWKxPWK","7/21/08","YearMonth_2008-07","order04",3,0,1,2,3,0.333333333
"PWK","PWK","PWKxPWK","8/16/08","YearMonth_2008-08","order05",4,0,1,2,3,0.333333333
"PWK","PWK","PWKxPWK","9/23/08","YearMonth_2008-09","order06",5,0,2,1,3,0.666666667
"PWK","PWK","PWKxPWK","3/11/08","YearMonth_2008-03","order01",0,1,4,1,5,0.8
"PWK","PWK","PWKxPWK","4/4/08","YearMonth_2008-04","order02",1,0,0,2,2,0
"PWK","PWK","PWKxPWK","4/24/08","YearMonth_2008-04","order03",2,0,2,3,5,0.4
"PWK","PWK","PWKxPWK","5/16/08","YearMonth_2008-05","order04",3,0,2,3,5,0.4
"PWK","PWK","PWKxPWK","8/14/08","YearMonth_2008-08","order05",4,0,4,2,6,0.666666667
"PWK","PWK","PWKxPWK","3/11/08","YearMonth_2008-03","order01",0,1,6,1,7,0.857142857
"PWK","PWK","PWKxPWK","4/14/08","YearMonth_2008-04","order02",1,0,4,6,10,0.4
"PWK","PWK","PWKxPWK","5/30/08","YearMonth_2008-05","order03",2,0,3,4,7,0.428571429
"PWK","PWK","PWKxPWK","7/14/08","YearMonth_2008-07","order04",3,0,4,4,8,0.5
"PWK","PWK","PWKxPWK","3/11/08","YearMonth_2008-03","order01",0,1,3,3,6,0.5
"PWK","PWK","PWKxPWK","4/22/08","YearMonth_2008-04","order02",1,0,2,7,9,0.222222222
"PWK","PWK","PWKxPWK","4/4/08","YearMonth_2008-04","order01",0,0,1,5,6,0.166666667
"PWK","PWK","PWKxPWK","4/29/08","YearMonth_2008-04","order02",1,0,0,5,5,0
"PWK","PWK","PWKxPWK","6/9/08","YearMonth_2008-06","order03",2,0,3,1,4,0.75
"PWK","PWK","PWKxPWK","8/9/08","YearMonth_2008-08","order04",3,0,4,3,7,0.571428571
"PWK","PWK","PWKxPWK","9/23/08","YearMonth_2008-09","order05",4,0,4,0,4,1
"PWK","PWK","PWKxPWK","3/12/08","YearMonth_2008-03","order01",0,1,1,3,4,0.25
"PWK","PWK","PWKxPWK","4/29/08","YearMonth_2008-04","order02",1,0,4,4,8,0.5
"PWK","PWK","PWKxPWK","3/24/08","YearMonth_2008-03","order01",0,1,1,3,4,0.25
"PWK","PWK","PWKxPWK","5/16/08","YearMonth_2008-05","order02",1,0,3,1,4,0.75
"PWK","PWK","PWKxPWK","3/30/08","YearMonth_2008-03","order01",0,1,2,1,3,0.666666667
"PWK","PWK","PWKxPWK","5/12/08","YearMonth_2008-05","order02",1,0,0,6,6,0
"PWK","PWK","PWKxPWK","6/26/08","YearMonth_2008-06","order03",2,0,2,4,6,0.333333333
"PWK","PWK","PWKxPWK","9/19/08","YearMonth_2008-09","order04",3,0,2,1,3,0.666666667
"PWK","PWK","PWKxPWK","10/8/08","YearMonth_2008-10","order01",0,1,1,2,3,0.333333333
"PWK","PWK","PWKxPWK","11/20/08","YearMonth_2008-11","order02",1,0,2,3,5,0.4
"PWK","PWK","PWKxPWK","12/30/08","YearMonth_2008-12","order03",2,0,4,3,7,0.571428571
"PWK","PWK","PWKxPWK","2/11/09","YearMonth_2009-02","order04",3,0,0,2,2,0
"PWK","PWK","PWKxPWK","3/2/09","YearMonth_2009-03","order05",4,0,1,3,4,0.25
"PWK","PWK","PWKxPWK","10/8/08","YearMonth_2008-10","order01",0,1,2,4,6,0.333333333
"PWK","PWK","PWKxPWK","12/10/08","YearMonth_2008-12","order02",1,0,1,4,5,0.2
"PWK","PWK","PWKxPWK","1/26/09","YearMonth_2009-01","order03",2,0,1,2,3,0.333333333
"PWK","PWK","PWKxPWK","3/16/09","YearMonth_2009-03","order04",3,0,1,2,3,0.333333333
"PWK","PWK","PWKxPWK","11/21/08","YearMonth_2008-11","order01",0,1,2,3,5,0.4
"PWK","PWK","PWKxPWK","4/6/09","YearMonth_2009-04","order02",1,0,3,3,6,0.5
"PWK","PWK","PWKxPWK","6/19/09","YearMonth_2009-06","order03",2,0,3,2,5,0.6
"PWK","PWK","PWKxPWK","8/4/09","YearMonth_2009-08","order04",3,0,0,2,2,0
"PWK","PWK","PWKxPWK","11/21/08","YearMonth_2008-11","order01",0,1,2,1,3,0.666666667
"PWK","PWK","PWKxPWK","1/9/09","YearMonth_2009-01","order02",1,0,3,2,5,0.6
"PWK","PWK","PWKxPWK","2/16/09","YearMonth_2009-02","order03",2,0,1,5,6,0.166666667
